epoch:182, train loss: 0.048, MSE loss: 0.031
epoch:183, train loss: 0.048, MSE loss: 0.031
epoch:184, train loss: 0.048, MSE loss: 0.031
epoch:185, train loss: 0.048, MSE loss: 0.031
epoch:186, train loss: 0.048, MSE loss: 0.031
epoch:187, train loss: 0.048, MSE loss: 0.031
epoch:188, train loss: 0.048, MSE loss: 0.031
epoch:189, train loss: 0.048, MSE loss: 0.031
epoch:190, train loss: 0.047, MSE loss: 0.031
epoch:191, train loss: 0.048, MSE loss: 0.031
epoch:192, train loss: 0.047, MSE loss: 0.031
epoch:193, train loss: 0.047, MSE loss: 0.031
epoch:194, train loss: 0.047, MSE loss: 0.031
epoch:195, train loss: 0.047, MSE loss: 0.031
epoch:196, train loss: 0.047, MSE loss: 0.031
epoch:197, train loss: 0.047, MSE loss: 0.031
epoch:198, train loss: 0.047, MSE loss: 0.031
epoch:199, train loss: 0.047, MSE loss: 0.031
