Wall time,Step,Value
1526591272,36749,99.21875
1526591279,36798,97.65625
1526591297,36907,99.21875
1526591302,36937,100
1526591314,37012,99.21875
1526591314,37015,100
1526591339,37180,100
1526591346,37219,99.21875
1526591346,37221,100
1526591383,37455,99.21875
1526591398,37552,100
1526591435,37782,97.65625
1526591444,37842,99.21875
1526591481,38074,99.21875
1526591482,38076,100
1526591490,38126,100
1526591509,38249,97.65625
1526591519,38312,100
1526591520,38320,99.21875
1526591531,38396,100
1526591537,38432,99.21875
1526591558,38563,100
1526591562,38590,99.21875
1526591567,38614,99.21875
1526591568,38625,98.4375
1526591576,38679,97.65625
1526591591,38771,100
1526591602,38839,98.4375
1526591673,39291,100
1526591678,39325,99.21875
1526591686,39374,98.4375
1526591699,39457,97.65625
1526591702,39475,99.21875
1526591713,39546,99.21875
1526591725,39627,100
1526591752,39792,98.4375
1526591752,39795,98.4375
1526591766,39889,98.4375
1526591767,39890,98.4375
1526591778,39964,100
1526591803,40121,99.21875
1526591812,40182,99.21875
1526591832,40306,100
1526591834,40323,99.21875
1526591836,40332,98.4375
1526591885,40645,99.21875
1526591913,40814,99.21875
1526591917,40844,100
1526591925,40896,100
1526591941,40998,99.21875
1526591943,41003,100
1526591949,41045,98.4375
1526591991,41310,99.21875
1526592006,41402,98.4375
1526592024,41521,99.21875
1526592038,41606,100
1526592107,42051,100
1526592152,42328,100
1526592161,42392,99.21875
1526592172,42467,100
1526592176,42494,99.21875
1526592183,42533,100
1526592196,42614,100
1526592201,42647,100
1526592220,42769,100
1526592249,42945,99.21875
1526592258,43005,100
1526592275,43113,100
1526592277,43123,99.21875
1526592284,43172,99.21875
1526592288,43196,98.4375
1526592293,43220,100
1526592308,43320,100
1526592333,43482,98.4375
1526592335,43492,99.21875
1526592344,43545,100
1526592351,43596,99.21875
1526592355,43620,100
1526592357,43633,98.4375
1526592365,43685,97.65625
1526592377,43762,99.21875
1526592382,43797,98.4375
1526592384,43806,100
1526592386,43815,97.65625
1526592391,43849,100
1526592402,43916,99.21875
1526592411,43978,100
1526592418,44020,99.21875
1526592420,44037,100
1526592436,44134,98.4375
1526592443,44179,99.21875
1526592443,44182,98.4375
1526592477,44392,97.65625
1526592479,44405,100
1526592505,44571,100
1526592506,44574,99.21875
1526592525,44693,100
1526592539,44779,98.4375
1526592578,45028,100
1526592587,45086,100
1526592617,45280,99.21875
1526592625,45328,100
1526592641,45429,98.4375
1526592641,45430,97.65625
1526592649,45480,98.4375
1526592669,45609,98.4375
1526592679,45673,99.21875
1526592679,45674,99.21875
1526592685,45707,100
1526592688,45727,100
1526592692,45750,98.4375
1526592764,46212,99.21875
1526592775,46284,99.21875
1526592776,46292,99.21875
1526592777,46299,97.65625
1526592791,46389,100
1526592792,46396,99.21875
1526592801,46449,98.4375
1526592803,46463,99.21875
1526592806,46484,99.21875
1526592822,46588,100
1526592829,46632,99.21875
1526592881,46955,98.4375
1526592907,47124,99.21875
1526592910,47143,99.21875
1526592919,47203,100
1526592925,47240,97.65625
1526592961,47468,98.4375
1526592986,47627,99.21875
1526593066,48138,100
1526593111,48423,99.21875
1526593114,48444,99.21875
1526593141,48617,100
1526593148,48659,100
1526593151,48682,99.21875
1526593154,48699,97.65625
1526593172,48818,100
1526593212,49073,97.65625
1526593221,49128,100
1526593226,49160,99.21875
1526593243,49267,100
1526593245,49284,98.4375
1526593257,49358,99.21875
1526593272,49450,98.4375
1526593282,49511,100
1526593289,49564,99.21875
1526593318,49749,98.4375
1526593329,49812,98.4375
1526593342,49895,98.4375
1526593351,49951,99.21875
1526593364,50031,100
1526593371,50077,100
1526593374,50095,100
1526593381,50139,99.21875
1526593381,50140,100
1526593384,50161,99.21875
1526593388,50188,100
1526593396,50235,98.4375
1526593420,50390,99.21875
1526593429,50446,100
1526593434,50477,97.65625
1526593447,50558,100
1526593448,50563,99.21875
1526593464,50667,100
1526593473,50716,99.21875
1526593481,50769,99.21875
1526593524,51055,100
1526593526,51066,97.65625
1526593534,51111,100
1526593541,51161,99.21875
1526593562,51297,100
1526593569,51336,99.21875
1526593573,51361,100
1526593615,51628,100
1526593630,51719,98.4375
1526593635,51750,100
1526593652,51856,100
1526593661,51912,100
1526593749,52476,100
1526593756,52521,100
1526593757,52525,100
1526593770,52602,100
1526593811,52865,99.21875
1526593835,53014,100
1526593844,53071,98.4375
1526593881,53302,96.875
1526593891,53369,99.21875
1526593900,53428,100
1526593902,53442,99.21875
1526593916,53530,100
1526593919,53551,100
1526593924,53580,99.21875
1526593935,53652,99.21875
1526593939,53679,100
1526593942,53696,100
1526593943,53701,99.21875
1526593957,53793,100
1526593958,53799,100
1526593960,53810,99.21875
1526593974,53895,99.21875
1526593988,53987,99.21875
1526593997,54044,97.65625
1526594017,54166,100
1526594041,54321,98.4375
1526594059,54437,97.65625
1526594061,54450,99.21875
1526594070,54509,99.21875
1526594078,54560,99.21875
1526594114,54789,100
1526594117,54801,100
1526594133,54902,99.21875
1526594136,54921,100
1526594138,54938,100
1526594141,54956,100
1526594153,55034,98.4375
1526594185,55236,100
1526594202,55345,100
1526594213,55407,100
1526594214,55413,98.4375
1526594225,55493,99.21875
1526594240,55584,100
1526594271,55780,100
1526594301,55975,97.65625
1526594317,56073,100
1526594325,56122,100
1526594332,56173,98.4375
1526594335,56189,99.21875
1526594354,56306,100
1526594356,56324,99.21875
1526594411,56675,100
1526594413,56687,99.21875
1526594414,56695,100
1526594431,56801,98.4375
1526594443,56878,100
1526594450,56924,98.4375
1526594464,57007,98.4375
1526594486,57151,98.4375
1526594488,57161,99.21875
1526594502,57254,98.4375
1526594525,57398,100
1526594546,57529,99.21875
1526594576,57716,98.4375
1526594581,57749,100
1526594589,57803,99.21875
1526594601,57880,100
1526594603,57895,98.4375
1526594610,57934,100
1526594624,58025,98.4375
1526594630,58070,99.21875
1526594649,58189,98.4375
1526594662,58271,99.21875
1526594662,58273,100
1526594665,58287,100
1526594669,58308,100
1526594713,58593,97.65625
1526594741,58777,98.4375
1526594750,58831,99.21875
1526594758,58886,100
1526594762,58906,100
1526594786,59057,99.21875
1526594787,59068,97.65625
1526594805,59180,98.4375
1526594808,59200,99.21875
1526594824,59301,100
1526594841,59406,97.65625
1526594854,59489,99.21875
1526594861,59532,97.65625
1526594872,59607,97.65625
1526594909,59841,98.4375
1526594920,59906,99.21875
1526594924,59934,99.21875
1526594955,60131,100
1526594962,60176,100
1526594978,60282,98.4375
1526594992,60371,100
1526594998,60407,99.21875
1526595016,60520,99.21875
1526595021,60552,100
1526595027,60592,100
1526595093,61011,99.21875
1526595098,61038,99.21875
1526595103,61070,99.21875
1526595107,61100,100
1526595115,61149,99.21875
1526595141,61317,100
1526595219,61816,100
1526595220,61822,98.4375
1526595225,61851,99.21875
1526595233,61902,99.21875
1526595239,61944,99.21875
1526595245,61979,99.21875
1526595262,62098,100
1526595274,62170,100
1526595287,62253,100
1526595290,62275,100
1526595296,62307,100
1526595319,62455,96.875
1526595323,62481,99.21875
1526595337,62576,99.21875
1526595361,62726,99.21875
1526595366,62758,99.21875
1526595394,62938,100
1526595412,63053,100
1526595418,63089,100
1526595425,63135,100
1526595427,63146,100
1526595434,63198,100
1526595439,63221,97.65625
1526595454,63318,100
1526595461,63367,100
1526595486,63525,98.4375
1526595543,63890,98.4375
1526595554,63959,99.21875
1526595563,64013,99.21875
1526595567,64041,100
1526595568,64047,98.4375
1526595631,64451,100
1526595665,64665,100
1526595674,64728,100
1526595676,64739,98.4375
1526595706,64929,98.4375
1526595707,64936,99.21875
1526595707,64938,100
1526595737,65126,100
1526595739,65145,100
1526595740,65147,99.21875
1526595754,65239,100
1526595768,65335,99.21875
1526595771,65351,99.21875
1526595776,65389,97.65625
1526595787,65457,100
1526595809,65595,99.21875
1526595816,65637,98.4375
1526595821,65672,100
1526595874,66007,98.4375
1526595881,66051,99.21875
1526595918,66289,99.21875
1526595928,66354,100
1526595943,66446,99.21875
1526595945,66458,99.21875
1526595957,66534,99.21875
1526595962,66564,99.21875
1526595963,66574,100
1526595968,66605,99.21875
1526595994,66776,100
1526596004,66838,98.4375
1526596020,66945,98.4375
1526596042,67083,96.875
1526596064,67221,98.4375
1526596074,67285,100
1526596102,67461,99.21875
1526596115,67551,100
1526596121,67588,99.21875
1526596142,67723,98.4375
1526596150,67780,98.4375
1526596184,67996,100
1526596184,67999,100
1526596200,68100,99.21875
1526596210,68164,97.65625
1526596252,68437,99.21875
1526596255,68451,100
1526596260,68486,99.21875
1526596267,68533,99.21875
1526596271,68553,100
1526596310,68807,100
1526596317,68851,99.21875
1526596338,68985,96.875
1526596343,69012,98.4375
1526596343,69013,97.65625
1526596357,69106,99.21875
1526596406,69412,99.21875
1526596408,69429,99.21875
1526596441,69639,98.4375
1526596446,69673,100
1526596453,69715,98.4375
1526596457,69743,99.21875
1526596485,69921,100
1526596488,69943,100
1526596495,69991,100
1526596498,70006,98.4375
1526596499,70011,99.21875
1526596526,70187,98.4375
1526596533,70229,99.21875
1526596552,70350,96.875
1526596610,70713,100
1526596613,70738,100
1526596619,70772,100
1526596620,70777,98.4375
1526596658,71016,99.21875
1526596663,71046,96.875
1526596680,71161,98.4375
1526596684,71185,98.4375
1526596692,71232,100
1526596707,71330,98.4375
